--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
058.274  000.563  000.473: require('mason-core.installer.context')
058.343  000.068  000.068: require('mason-core.async.control')
058.410  000.066  000.066: require('mason-core.installer.linker')
058.412  000.845  000.148: require('mason-core.installer')
058.419  001.049  000.204: require('mason-core.installer.managers.std')
058.420  001.126  000.077: require('mason-core.installer.registry.schemas')
058.486  000.066  000.066: require('mason-core.installer.registry.util')
058.490  001.525  000.082: require('mason-core.installer.registry')
058.499  001.870  000.070: require('mason-registry.sources.util')
058.503  002.874  000.246: require('mason-registry.sources.github')
061.610  000.071  000.071: require('mason-nvim-dap.automatic_installation')
061.674  000.060  000.060: require('mason-core.notify')
061.866  000.066  000.066: require('mason-nvim-dap.mappings.adapters')
062.032  000.165  000.165: require('mason-nvim-dap.mappings.filetypes')
064.865  000.094  000.094: require('mason-core.functional.type')
069.136  007.103  007.009: require('mason-nvim-dap.mappings.configurations')
069.250  000.109  000.109: require('mason-nvim-dap.mappings.adapters.codelldb')
069.329  000.078  000.078: require('mason-nvim-dap.automatic_setup')
069.434  000.090  000.090: require('mason-nvim-dap.mappings.adapters.delve')
069.666  000.226  000.226: require('mason-nvim-dap.mappings.adapters.coreclr')
070.026  000.352  000.352: require('dap.ext.vscode')
070.394  000.361  000.361: require('mason-nvim-dap.api.command')
070.951  000.198  000.198: require('dapui.client.types')
070.953  000.391  000.193: require('dapui.client')
071.072  000.119  000.119: require('dap.breakpoints')
071.251  000.171  000.171: require('dapui.client.lib')
071.589  000.153  000.153: require('dapui.render.canvas')
071.590  000.335  000.181: require('dapui.elements.breakpoints')
071.991  000.392  000.392: require('dapui.components.breakpoints')
072.074  000.075  000.075: require('dapui.elements.repl')
072.145  000.068  000.068: require('dapui.elements.scopes')
072.217  000.066  000.066: require('dapui.components.scopes')
072.397  000.179  000.179: require('dapui.components.variables')
072.463  000.061  000.061: require('dapui.elements.stacks')
072.624  000.066  000.066: require('dapui.components.frames')
072.625  000.128  000.062: require('dapui.components.threads')
072.693  000.060  000.060: require('dapui.elements.watches')
072.763  000.065  000.065: require('dapui.components.watches')
072.832  000.063  000.063: require('dapui.elements.hover')
072.943  000.067  000.067: require('dapui.components.hover')
073.108  000.163  000.163: require('dapui.elements.console')
073.356  000.073  000.073: require('dap-go-ts')
073.360  000.210  000.137: require('dap-go')
073.930  000.439  000.439: require('oil')
074.045  000.113  000.113: require('oil.ringbuf')
074.169  000.124  000.124: require('oil.config')
074.730  000.525  000.525: require('vim.filetype')
075.059  000.111  000.111: require('oil.fs')
075.370  000.105  000.105: require('oil.constants')
075.374  000.314  000.209: require('oil.util')
075.868  000.148  000.148: sourcing /Users/fredriksvahn/.local/share/nvim/lazy/lush.nvim/plugin/lush.vim
077.092  000.182  000.182: sourcing /Users/fredriksvahn/.local/share/nvim/lazy/nvim-transparent/plugin/transparent.vim
077.675  000.126  000.126: require('transparent.config')
077.960  000.284  000.284: require('transparent.cache')
078.063  000.923  000.512: require('transparent')
078.743  000.469  000.469: require('ufo')
079.449  000.070  000.070: require('ufo.lib.disposable')
079.531  000.081  000.081: require('ufo.lib.log')
079.532  000.578  000.426: require('ufo.lib.event')
079.607  000.075  000.075: require('ufo.utils')
080.001  000.064  000.064: require('promise-async.utils')
080.066  000.064  000.064: require('promise-async.error')
080.137  000.067  000.067: require('promise-async.loop')
080.140  000.429  000.234: require('promise')
080.141  000.533  000.104: require('ufo.provider')
080.306  000.067  000.067: require('ufo.config')
080.441  000.065  000.065: require('promise-async.compat')
080.442  000.135  000.070: require('async')
080.686  000.091  000.091: require('ufo.model.buffer')
080.762  000.075  000.075: require('ufo.model.foldedline')
080.764  000.251  000.085: require('ufo.model.foldbuffer')
080.833  000.068  000.068: require('ufo.bufmanager')
080.967  000.070  000.070: require('ufo.wffi')
080.968  000.134  000.065: require('ufo.fold.driver')
080.970  000.526  000.073: require('ufo.fold.manager')
081.042  000.070  000.070: require('ufo.lib.debounce')
081.049  000.907  000.109: require('ufo.fold')
081.346  000.105  000.105: require('ufo.model.window')
081.481  000.063  000.063: require('ufo.highlight')
081.537  000.056  000.056: require('ufo.render.extmark')
082.772  000.058  000.058: require('vim.treesitter.language')
082.828  000.054  000.054: require('vim.func')
082.888  000.059  000.059: require('vim.func._memoize')
082.915  000.506  000.335: require('vim.treesitter.query')
083.011  000.095  000.095: require('vim.treesitter._range')
083.016  001.107  000.505: require('vim.treesitter.languagetree')
083.018  001.291  000.184: require('vim.treesitter')
083.023  001.417  000.126: require('vim.treesitter.highlighter')
083.024  001.486  000.069: require('ufo.render.treesitter')
083.115  000.091  000.091: require('ufo.render.match')
083.117  001.770  000.074: require('ufo.render')
083.120  002.070  000.195: require('ufo.decorator')
083.343  000.070  000.070: require('ufo.preview.floatwin')
083.401  000.057  000.057: require('ufo.preview.scrollbar')
083.459  000.057  000.057: require('ufo.preview.winbar')
083.521  000.061  000.061: require('ufo.preview.keymap')
083.524  000.404  000.158: require('ufo.preview')
083.528  004.769  000.203: require('ufo.main')
084.622  000.200  000.200: require('ibl.utils')
084.624  000.411  000.211: require('ibl.config')
084.932  000.132  000.132: require('ibl.indent')
084.935  000.310  000.178: require('ibl.hooks')
084.936  000.869  000.149: require('ibl.highlights')
085.037  000.100  000.100: require('ibl.autocmds')
085.147  000.109  000.109: require('ibl.inlay_hints')
085.393  000.245  000.245: require('ibl.virt_text')
085.796  000.282  000.282: require('ibl.scope_languages')
085.797  000.403  000.121: require('ibl.scope')
085.799  002.143  000.416: require('ibl')
086.016  000.204  000.204: require('vim.iter')
088.687  000.216  000.216: require('lualine_require')
089.231  001.416  001.200: require('lualine')
091.603  000.167  000.167: require('lualine.utils.mode')
094.633  000.200  000.200: require('lualine.extensions.nerdtree')
094.900  000.152  000.152: require('lazy.status')
096.921  000.581  000.581: sourcing /Users/fredriksvahn/.local/share/nvim/lazy/vim-sleuth/plugin/sleuth.vim
098.864  000.142  000.142: require('nvim-treesitter.utils')
099.957  001.092  001.092: require('nvim-treesitter.parsers')
100.925  000.106  000.106: require('nvim-treesitter.compat')
101.186  000.172  000.172: require('nvim-treesitter.ts_utils')
101.190  000.264  000.091: require('nvim-treesitter.tsrange')
101.266  000.075  000.075: require('nvim-treesitter.caching')
101.272  000.670  000.226: require('nvim-treesitter.query')
101.280  001.083  000.413: require('nvim-treesitter.configs')
101.282  001.324  000.241: require('nvim-treesitter.info')
101.386  000.104  000.104: require('nvim-treesitter.shell_command_selectors')
101.406  003.395  000.733: require('nvim-treesitter.install')
101.494  000.087  000.087: require('nvim-treesitter.statusline')
101.592  000.097  000.097: require('nvim-treesitter.query_predicates')
101.594  004.137  000.558: require('nvim-treesitter')
101.800  004.515  000.378: sourcing /Users/fredriksvahn/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
103.862  000.219  000.219: require('nvim-treesitter.highlight')
104.220  000.228  000.228: require('nvim-treesitter.indent')
105.631  000.099  000.099: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/editorconfig.lua
105.897  000.202  000.202: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/gzip.vim
